yyyy,mkt_tot_out,gdp (millions),holdings_to_gdp
1946,150813.9931,227500,0.662918651
1947,151596.908,259700,0.583738575
1948,153038.0215,280400,0.54578467
1949,158527.3911,270600,0.585836626
1950,152848.9678,319900,0.477802337
1951,141331.9339,356200,0.396776906
1952,147040.0057,380800,0.386134469
1953,154464.1723,386000,0.400166249
1954,158226.7823,399700,0.395863854
1955,160566.5805,437100,0.367345185
1956,154054.3026,460500,0.334537031
1957,160618.7756,474900,0.338215994
1958,168715.9211,499600,0.337702004
1959,177337.9173,528600,0.335486033
1960,186335.3161,540200,0.344937646
1961,191367.2514,580600,0.329602569
1962,198842.6994,612300,0.324747182
1963,198399.9899,653900,0.303410292
1964,206613.3771,697300,0.296304857
1965,206381.226,771900,0.267367827
1966,211732.6236,833300,0.254089312
1967,214926.7387,881400,0.243846992
1968,222959.7181,968000,0.230330287
1969,215361.3744,1038100,0.207457253
1970,240156.532,1088600,0.220610446
1971,259494.2212,1190300,0.218007411
1972,262329.6509,1328900,0.197403605
1973,259783.3839,1476300,0.175969237
1974,269217.1597,1599700,0.16829228
1975,352177.7185,1761800,0.199896537
1976,425865.812,1934300,0.220165337
1977,452498.1346,2164300,0.209073666
1978,465008.5652,2476900,0.187738126
1979,495842.0108,2723900,0.182033852
1980,568036.4473,2985600,0.190258724
1981,673570.318,3280800,0.205306729
1982,893247.2067,3402600,0.262519017
1983,1033420.855,3794700,0.272332689
1984,1231744.985,4148600,0.296906182
1985,1476215.297,4444100,0.332174185
1986,1707310.015,4657600,0.366564328
1987,1747575.735,5008000,0.348956816
1988,1812844.276,5399500,0.33574299
1989,1999126.239,5747200,0.347843513
1990,2249455.111,6004700,0.374615736
1991,2605155.109,6264500,0.415860022
1992,2892962.976,6680800,0.43302643
1993,3183771.97,7013700,0.453936149
1994,3094812.187,7455300,0.415115715
1995,3502077.716,7772600,0.450567084
1996,3559164.345,8259800,0.430902001
1997,3614995.022,8765900,0.412392911
1998,3591740.323,9294000,0.386457965
1999,3309860.933,9899400,0.334349651
2000,3120433.606,10439000,0.29892074
2001,3142517.219,10660300,0.29478694
2002,3490924.75,11071500,0.315307298
2003,3803898.098,11769300,0.323205127
2004,4143945.928,12522400,0.330922661
2005,4278106.363,13332300,0.320882846
2006,4389691.323,14037200,0.312718443
2007,4753834.887,14681500,0.323797629
2008,6252013.282,14559500,0.429411263
2009,7490855.063,14628000,0.512090174
2010,9215008.936,15240800,0.60462764
2011,10733428.06,15796500,0.679481408
2012,11910478.29,16358900,0.728073299
2013,12110590.94,17083100,0.708922323
2014,12887921.29,17849900,0.722016442
2015,13252946.91,18378800,0.721099686
2016,13758296.91,19032600,0.722880579
2017,14324101.24,19938000,0.718432202
2018,15299702.71,20909900,0.731696599
2019,16859543.24,21747400,0.775244086
2020,21909464.6,21479500,1.02001744
